timestamp,server_id,load
0,S1,0.18
0,S2,0.15
0,S3,0.17
0,S4,0.13
16,S1,0.23
16,S2,0.25
16,S3,0.25
16,S4,0.5800000000000001
32,S1,0.55
32,S2,0.33
32,S3,0.32999999999999996
32,S4,0.6499999999999999
48,S1,0.63
48,S2,0.41000000000000003
48,S3,0.71
48,S4,0.74
64,S1,0.68
64,S2,0.8300000000000001
64,S3,0.79
64,S4,0.8200000000000001
80,S1,1.04
80,S2,0.8900000000000001
80,S3,0.8700000000000001
80,S4,0.8899999999999999
96,S1,1.1199999999999999
96,S2,0.96
96,S3,1.29
96,S4,0.96
112,S1,1.2
112,S2,1.39
112,S3,1.3699999999999999
112,S4,1.05
129,S1,1.26
129,S2,1.42
129,S3,1.4
129,S4,1.31
145,S1,1.63
145,S2,1.5
145,S3,1.5
145,S4,1.3800000000000001
161,S1,1.72
161,S2,1.57
161,S3,1.57
161,S4,1.84
